Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Puka Nacua,LAR,9,14,165,18.3,44,6,1,0,0,1/25
Jaxon Smith-Njigba,SEA,10,12,153,15.3,42,9,1,0,0,1/25
Davante Adams,LAR,4,6,89,22.3,35,4,1,0,0,1/25
Colby Parkinson,LAR,3,4,62,20.7,40,3,0,1,0,1/25
Marvin Mims Jr.,DEN,4,6,62,15.5,52,2,0,0,0,1/25
Rashid Shaheed,SEA,1,3,51,51,51,1,0,0,0,1/25
Mack Hollins,NE,2,2,51,25.5,31,2,0,0,0,1/25
Kenneth Walker III,SEA,4,4,49,12.3,15,3,0,0,0,1/25
Cooper Kupp,SEA,4,6,36,9,13,3,1,0,0,1/25
George Holani,SEA,3,4,27,9,13,1,0,0,0,1/25
Blake Corum,LAR,3,3,24,8,15,1,0,0,0,1/25
RJ Harvey,DEN,4,6,22,5.5,11,2,0,0,0,1/25
Kyren Williams,LAR,2,2,22,11,13,2,1,0,0,1/25
Evan Engram,DEN,2,3,19,9.5,12,1,0,0,0,1/25
Stefon Diggs,NE,5,6,17,3.4,6,0,0,0,0,1/25
Jake Bobo,SEA,1,2,17,17,17,1,1,0,0,1/25
Courtland Sutton,DEN,3,5,17,5.7,6,1,1,0,0,1/25
AJ Barner,SEA,2,3,13,6.5,7,1,0,1,0,1/25
Tyler Higbee,LAR,1,1,12,12,12,1,0,0,0,1/25
Hunter Henry,NE,2,3,12,6,9,0,0,0,0,1/25
Kayshon Boutte,NE,1,6,6,6,6,0,0,0,0,1/25
Lil'Jordan Humphrey,DEN,1,3,5,5,5,1,0,0,0,1/25
Elijah Moore,DEN,1,1,4,4,4,0,0,0,0,1/25
Jaleel McLaughlin,DEN,1,2,2,2,2,0,0,0,0,1/25
Pat Bryant,DEN,1,1,2,2,2,1,0,0,0,1/25
Ronnie Rivers,LAR,0,1,0,-,-,0,0,0,0,1/25
DeMario Douglas,NE,0,1,0,-,-,0,0,0,0,1/25
Terrance Ferguson,LAR,0,1,0,-,-,0,0,0,0,1/25
Konata Mumpfield,LAR,0,2,0,-,-,0,0,0,0,1/25
Rhamondre Stevenson,NE,0,2,0,-,-,0,0,0,0,1/25
Marvin Mims Jr.,DEN,8,8,93,11.6,27,5,1,0,0,1/18
Dalton Kincaid,BUF,6,6,83,13.8,25,4,1,0,0,1/18
Khalil Shakir,BUF,7,9,75,10.7,46,3,0,0,0,1/18
Kayshon Boutte,NE,3,5,75,25,32,3,1,0,0,1/18
Cooper Kupp,SEA,5,5,60,12,21,3,0,0,0,1/18
Jayden Higgins,HOU,6,10,59,9.8,16,2,0,0,0,1/18
Jake Tonges,SF,5,6,59,11.8,16,4,0,1,1,1/18
Puka Nacua,LAR,5,10,56,11.2,16,4,0,0,0,1/18
Colby Parkinson,LAR,3,7,56,18.7,35,2,0,0,0,1/18
Colston Loveland,CHI,4,10,56,14,23,3,0,0,0,1/18
Courtland Sutton,DEN,4,9,53,13.3,25,3,0,0,0,1/18
DJ Moore,CHI,5,8,52,10.4,34,2,1,0,0,1/18
Dalton Schultz,HOU,2,2,47,23.5,42,1,0,0,0,1/18
RJ Harvey,DEN,5,6,46,9.2,24,1,0,0,0,1/18
Rome Odunze,CHI,2,6,44,22,27,2,0,0,0,1/18
Xavier Hutchinson,HOU,4,13,44,11,23,2,0,0,0,1/18
Stefon Diggs,NE,4,6,40,10,14,2,1,0,0,1/18
Christian McCaffrey,SF,5,6,39,7.8,11,3,0,0,0,1/18
Kyle Monangai,CHI,4,4,36,9,16,2,0,0,0,1/18
DeMario Douglas,NE,2,2,36,18,28,1,1,0,0,1/18
Jordan Whittington,LAR,2,2,35,17.5,20,2,0,0,0,1/18
Lil'Jordan Humphrey,DEN,2,5,33,16.5,29,1,1,0,0,1/18
Ray Davis,BUF,2,2,33,16.5,24,1,0,0,0,1/18
Dawson Knox,BUF,3,5,32,10.7,13,2,0,0,0,1/18
Pat Bryant,DEN,3,3,32,10.7,15,2,0,0,0,1/18
Cole Kmet,CHI,3,3,31,10.3,14,2,1,0,0,1/18
Kyren Williams,LAR,4,5,30,7.5,14,2,0,0,0,1/18
Kenneth Walker III,SEA,3,3,29,9.7,15,2,0,0,0,1/18
Tyler Higbee,LAR,1,2,27,27,27,1,0,0,0,1/18
Davante Adams,LAR,2,6,24,12,12,2,0,0,0,1/18
Luther Burden III,CHI,3,7,24,8,11,0,0,0,0,1/18
James Cook III,BUF,2,3,24,12,24,1,0,1,1,1/18
Jauan Jennings,SF,2,5,23,11.5,19,1,0,0,0,1/18
Harrison Bryant,HOU,3,6,21,7,9,1,0,0,0,1/18
Brandin Cooks,BUF,2,6,20,10,15,1,0,0,0,1/18
Christian Kirk,HOU,2,6,20,10,10,2,1,0,0,1/18
Terrance Ferguson,LAR,1,5,19,19,19,1,0,0,0,1/18
Woody Marks,HOU,2,3,19,9.5,13,1,0,1,1,1/18
Jaxon Smith-Njigba,SEA,3,4,19,6.3,11,1,1,0,0,1/18
Jake Bobo,SEA,1,1,16,16,16,1,0,0,0,1/18
Austin Hooper,NE,1,2,14,14,14,1,0,0,0,1/18
Rhamondre Stevenson,NE,4,4,11,2.8,9,0,0,0,0,1/18
Konata Mumpfield,LAR,2,3,11,5.5,6,0,0,0,0,1/18
