Player,Team,Att,Yds,Y/A,TD,1stD,Long,Fumb,FumL,Date
Rhamondre Stevenson,NE,25,71,2.8,0,4,12,0,0,1/25
Drake Maye,NE,10,65,6.5,1,6,28,0,0,1/25
Kenneth Walker III,SEA,19,62,3.3,1,3,11,0,0,1/25
Blake Corum,LAR,9,55,6.1,0,3,19,0,0,1/25
Kyren Williams,LAR,10,39,3.9,0,2,11,0,0,1/25
RJ Harvey,DEN,13,37,2.8,0,1,9,0,0,1/25
Jarrett Stidham,DEN,4,23,5.8,0,0,8,1,1,1/25
Matthew Stafford,LAR,2,16,8,0,2,13,1,0,1/25
Jaleel McLaughlin,DEN,4,11,2.8,0,0,5,0,0,1/25
Sam Darnold,SEA,3,9,3,0,1,14,1,0,1/25
TreVeyon Henderson,NE,3,5,1.7,0,0,4,0,0,1/25
Tyler Badie,DEN,1,4,4,0,1,4,0,0,1/25
Puka Nacua,LAR,1,4,4,0,0,4,0,0,1/25
George Holani,SEA,3,4,1.3,0,0,3,0,0,1/25
Adam Prentice,DEN,1,3,3,0,1,3,0,0,1/25
Pat Bryant,DEN,1,1,1,0,0,1,0,0,1/25
Rashid Shaheed,SEA,1,0,0,0,0,0,0,0,1/25
James Cook III,BUF,24,117,4.9,0,5,24,1,1,1/18
Kenneth Walker III,SEA,19,116,6.1,3,7,15,0,0,1/18
Kyren Williams,LAR,21,87,4.1,2,4,10,0,0,1/18
D'Andre Swift,CHI,19,76,4,0,3,13,0,0,1/18
Rhamondre Stevenson,NE,16,70,4.4,0,4,20,0,0,1/18
Josh Allen,BUF,12,66,5.5,0,8,26,3,2,1/18
Caleb Williams,CHI,5,40,8,0,4,26,0,0,1/18
Brock Purdy,SF,5,37,7.4,0,2,18,1,1,1/18
Kyle Monangai,CHI,13,36,2.8,0,3,15,0,0,1/18
Christian McCaffrey,SF,11,35,3.2,0,1,8,0,0,1/18
Bo Nix,DEN,12,29,2.4,0,4,11,1,0,1/18
Jordan James,SF,6,28,4.7,0,1,7,0,0,1/18
Rashid Shaheed,SEA,2,27,13.5,0,1,30,0,0,1/18
TreVeyon Henderson,NE,12,25,2.1,0,0,6,0,0,1/18
Jaleel McLaughlin,DEN,4,21,5.3,0,1,13,0,0,1/18
RJ Harvey,DEN,6,20,3.3,0,1,12,0,0,1/18
Zach Charbonnet,SEA,5,20,4,0,1,15,0,0,1/18
Blake Corum,LAR,6,19,3.2,0,1,7,0,0,1/18
Woody Marks,HOU,14,17,1.2,0,0,8,1,1,1/18
Nick Chubb,HOU,4,14,3.5,0,1,7,0,0,1/18
C.J. Stroud,HOU,2,11,5.5,0,1,10,0,0,1/18
Drake Maye,NE,4,10,2.5,0,1,8,4,2,1/18
Velus Jones Jr.,SEA,6,10,1.7,0,0,6,0,0,1/18
