Player,Team,Rec,Tgt,Yds,Y/R,Long,1stD,TD,Fumb,FumL,Date
Cooper Kupp,SEA,6,12,61,10.2,23,,0,0,0,2/8
AJ Barner,SEA,4,4,54,13.5,16,,1,0,0,2/8
Jaxon Smith-Njigba,SEA,4,10,27,6.8,16,,0,0,0,2/8
Rashid Shaheed,SEA,2,5,27,13.5,16,,0,0,0,2/8
Kenneth Walker III,SEA,2,4,26,13.0,20,,0,0,0,2/8
George Holani,SEA,1,1,7,7.0,7,,0,0,0,2/8
Mack Hollins,NE,4,8,78,19.5,35,,1,0,0,2/8
DeMario Douglas,NE,5,7,45,9.0,11,,0,0,0,2/8
Rhamondre Stevenson,NE,5,5,40,8.0,13,,1,0,0,2/8
Stefon Diggs,NE,3,3,37,12.3,26,,0,0,0,2/8
Hunter Henry,NE,3,5,31,10.3,16,,0,0,0,2/8
TreVeyon Henderson,NE,3,3,26,8.7,24,,0,0,0,2/8
Kayshon Boutte,NE,1,5,21,21.0,21,,0,0,0,2/8
Austin Hooper,NE,2,3,10,5.0,5,,0,0,0,2/8
Kyle Williams,NE,1,2,7,7.0,7,,0,0,0,2/8
